with_definition=693 leaks=17
tb-g2-0220	κειμένου	Του κειμένου που διαβάζουμε.
tb-g2-0231	παραμυθιού	Του παραμυθιού.
tb-g3-0011	πονηρός	Πονηρός· σκέφτεται κόλπα.
tb-g3-0027	παγωνιά	Πολύ δυνατή παγωνιά· πολύ κρύο.
tb-g3-0142	Βενετιά	Η Βενετία· πόλη στην Ιταλία με κανάλια.
tb-g3-0304	είμαι	Ρήμα είμαι · α΄ ενικό.
lx-g2-0113	κλάμα	κλάμα, κλαυθμός
lx-g2-0153	τιμή	κόστος· τιμή/τιμητική αναγνώριση
lx-g4-0006	άμιλλα	Η ευγενής άμιλλα
lx-g4-0012	αίτηση	Υπέβαλε αίτηση στο
lx-g4-0033	αδιαλλαξία	Στις συνομιλίες των δύο πλευρών κυριάρχησαν η αδιαλλαξία και η
lx-g4-0042	ακούσιος	Υπήρξε ακούσιος μάρτυρας
lx-g4-0059	αμφιβάλλω	Αμφιβάλλω για
lx-g4-0062	αναίδεια	Η αναίδειά του ξεπέρασε
lx-g4-0063	αναβολή	Ο διαιτητής αποφάσισε την αναβολή
lx-g4-0067	αναζήτηση	Η αναζήτηση στέγης απασχολεί κάθε χρόνο
lx-g4-0096	του	Του πήρε τον
