word,grade,pos,frequency
ειναι,4,verb,2813
ήταν,4,verb,1126
έχει,4,verb,846
κάθε,4,adj,771
αυτό,4,adj,735
παιδιά,4,noun,627
πολύ,4,adj,587
κάτι,4,adj,523
λεξεις,4,noun,519
ουσιαστικό,4,noun,514
έχουν,4,verb,483
αυτά,4,adj,444
ΖΩΗ,4,noun,417
τάξη,4,noun,408
ποια,4,adj,393
νερο,4,noun,387
είχε,4,verb,383
όλα,4,adj,377
όλοι,4,adj,376
μεγάλη,4,adj,365
φράσεις,4,noun,363
αυτή,4,adj,353
χρονιά,4,noun,353
αυτός,4,adj,346
πολλά,4,adj,326
μόνο,4,adj,305
είπε,4,verb,301
ανθρωποι,4,noun,292
σχολειό,4,noun,282
τρόπο,4,noun,276
πολλές,4,adj,274
ρήμα,4,noun,273
είχαν,4,verb,268
ιστορια,4,noun,268
άλλα,4,adj,263
μπορεί,4,verb,261
άλλο,4,adj,256
ζώα,4,noun,253
υπάρχουν,4,verb,249
σπίτι,4,noun,248
μέρος,4,noun,240
μέρα,4,noun,238
κεφάλαιο,4,noun,231
έγινε,4,verb,224
έργα,4,noun,224
ποιο,4,adj,222
πρέπει,4,verb,222
λέξη,4,noun,218
έργο,4,noun,217
πίνακα,4,noun,214
φορά,4,noun,214
έχουμε,4,verb,213
πόλη,4,noun,212
κάποιον,4,adj,211
μαθητές,4,noun,211
όνομα,4,noun,210
αυτές,4,adj,207
μπορούμε,4,verb,206
αγώνες,4,noun,204
κάνει,4,verb,200
ομάδα,4,noun,200
έλληνες,4,noun,199
γίνεται,4,verb,198
φορές,4,noun,196
ανθρώπους,4,noun,194
αριθμούς,4,noun,194
ίδιο,4,adj,192
λόγια,4,noun,192
εικονες,4,noun,190
έκανε,4,verb,189
κείμενό,4,noun,189
κοντά,4,adj,188
κόσμο,4,noun,186
βιβλίο,4,noun,183
παιδί,4,noun,183
πληροφοριες,4,noun,183
αγάπη,4,noun,182
ποσά,4,noun,180
κάποια,4,adj,178
δρόμο,4,noun,177
θεό,4,noun,176
ίδια,4,adj,173
έχω,4,verb,171
ωρα,4,noun,171
αρχαια,4,noun,170
γίνει,4,verb,170
γλώσσα,4,noun,169
πόλεις,4,noun,167
εικόνα,4,noun,166
προτάσεις,4,noun,166
άλλες,4,adj,165
κάποιος,4,adj,165
άνθρωπός,4,noun,164
επίθετο,4,noun,160
χρόνο,4,noun,159
υπάρχει,4,verb,158
μεγάλο,4,adj,157
σχήματά,4,noun,157
δικό,4,adj,156
είμαι,4,verb,156
