word,grade,pos,hint,definition,family,synonyms,source,difficulty
άβολος,3,adj,Ο καναπές είναι άβολος για πολλή ώρα.,όχι άνετος,,,a_b_c_lexiko,1
άγριος,3,adj,Ο άγριος λύκος ζει στο δάσος.,όχι ήμερος,,,a_b_c_lexiko,1
άρρωστος,3,adj,Έμεινε σπίτι γιατί είναι άρρωστος.,που έχει αρρώστια,,,a_b_c_lexiko,2
άρχοντας,3,noun,Στο παραμύθι ζούσε ένας πλούσιος άρχοντας.,"άρχων, ηγεμόνας",,,a_b_c_lexiko,1
άσπρος,3,adj,Ο τοίχος είναι άσπρος.,λευκός,,,a_b_c_lexiko,1
άχνα,3,noun,Δεν έμεινε άχνα φαγητού στο πιάτο.,"ίχνος, ποσότητα ελάχιστη",,,a_b_c_lexiko,1
ίχνος,3,noun,Βρήκαμε ίχνη ζώου στο χιόνι.,"σημάδι, αποτύπωμα",,,a_b_c_lexiko,1
αμάξι,3,noun,Το αμάξι σταμάτησε στο φανάρι.,αυτοκίνητο,,,a_b_c_lexiko,1
αναπαυτικός,3,adj,Ο αναπαυτικός καναπές είναι μαλακός.,άνετος,,,a_b_c_lexiko,2
αναχώρηση,3,noun,Η αναχώρηση του τρένου είναι στις εννιά.,το να φεύγει κανείς,,,a_b_c_lexiko,2
ανυπάκουος,3,adj,Ο ανυπάκουος μαθητής δεν καθόταν ήσυχα.,που δεν υπακούει,,,a_b_c_lexiko,2
απορία,3,noun,Έχει απορία για το μάθημα.,ερώτηση από άγνοια,,,a_b_c_lexiko,1
αποτύπωμα,3,noun,Άφησε το αποτύπωμα του χεριού στον πηλό.,σημάδι που μένει,,,a_b_c_lexiko,1
απουσία,3,noun,Σημείωσε την απουσία στο βιβλίο.,το να λείπει κανείς,,,a_b_c_lexiko,1
απρόσεκτος,3,adj,Ο απρόσεκτος μαθητής έχασε το βιβλίο.,χωρίς προσοχή,,,a_b_c_lexiko,2
αργώ,3,verb,Μην αργείς στο σχολείο.,έρχομαι αργά,,,a_b_c_lexiko,1
αριθμητική,3,noun,Λύνουμε ασκήσεις αριθμητικής.,κλάδος μαθηματικών,,,a_b_c_lexiko,3
αριθμός,3,noun,Γράψε τον αριθμό της σελίδας.,ποσότητα σε ψηφία,,,a_b_c_lexiko,2
αρκούδα,3,noun,Η αρκούδα κοιμάται τον χειμώνα.,μεγάλο ζώο του δάσους,,,a_b_c_lexiko,1
αρνούμαι,3,verb,Αρνήθηκε να πει ψέματα.,λέω όχι,,,a_b_c_lexiko,1
αρραβωνιάζω,3,verb,Αρραβωνιάστηκαν την άνοιξη.,δίνω/παίρνω αρραβώνα,,,a_b_c_lexiko,3
αρρωσταίνω,3,verb,Αρρώστησε από κρύωμα.,γίνομαι άρρωστος,,,a_b_c_lexiko,3
αρχή,3,noun,Στην αρχή του βιβλίου υπάρχουν εικόνες.,ξεκίνημα,,,a_b_c_lexiko,1
αρχίζω,3,verb,Αρχίζουμε το μάθημα στις οκτώ.,ξεκινώ,,,a_b_c_lexiko,1
αρωματικός,3,adj,Ο αρωματικός καφές μύριζε ωραία.,με άρωμα,,,a_b_c_lexiko,2
ασθένεια,3,noun,Η ασθένεια πέρασε γρήγορα.,αρρώστια,,,a_b_c_lexiko,1
ασθενής,3,adj,Ο ασθενής ξεκουράζεται στο κρεβάτι.,άρρωστος,,,a_b_c_lexiko,1
αστέρι,3,noun,Ένα αστέρι έλαμψε στον ουρανό.,άστρο,,,a_b_c_lexiko,1
αστράφτω,3,verb,Αστράφτει ο ουρανός πριν τη βροχή.,βγάζω αστραπές,,,a_b_c_lexiko,1
αστραπή,3,noun,Η αστραπή φώτισε όλη τη νύχτα.,ηλεκτρική εκκένωση,,,a_b_c_lexiko,1
αστροναύτης,3,noun,Ο αστροναύτης ταξίδεψε στο διάστημα.,ταξιδιώτης στο διάστημα,,,a_b_c_lexiko,2
ασχολία,3,noun,Το διάβασμα είναι ωραία ασχολία.,δραστηριότητα,,,a_b_c_lexiko,1
ατμός,3,noun,Από την κατσαρόλα βγαίνει ατμός.,υδρατμός,,,a_b_c_lexiko,1
αυτοκινητάκι,3,noun,Παίζει με το αυτοκινητάκι στο πάτωμα.,μικρό παιχνίδι-αυτοκίνητο,,,a_b_c_lexiko,3
αφήνω,3,verb,Άφησε το βιβλίο στο τραπέζι.,τοποθετώ· επιτρέπω,,,a_b_c_lexiko,1
αφαίρεση,3,noun,Κάνε την αφαίρεση στον πίνακα.,μαθηματική πράξη,,,a_b_c_lexiko,1
