word,grade,pos,hint,definition,family,synonyms,source,difficulty
αΰπνία,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
αλλαντοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
ανθοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
αρτοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
αρχαιοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
αρωματοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
βουτυροπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
γαλακτοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
γεωμετρία,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
γεωπόνος,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
διαγώνισμα,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
ελικόπτερο,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
ενέργεια,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
ενενηκοστό,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
θεραπεία,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
ιχθυοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
καλοκαιρινός,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
καπνοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
κασετόφωνο,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
καφεπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
κοσμηματοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
κρεοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
κυκλοφορία,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
λαχανοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
λειτουργία,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
νομισματοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
οινοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
οπωροπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
παγοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
παλαιοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
παντοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
περιστατικό,5,adj,Συμπληρώνουμε με το επίθετο ___.,,,,mathima-orthografias,3
πολυκατοικία,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
σιδηροπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
τυροπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
υποδηματοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
χαρτοπώλης,5,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
