word,grade,pos,frequency,hint,source
σαββατοκύριακα,2,noun,2,Τα ___ πάμε βόλτα με την οικογένεια.,glossa-b-dim
μπουφάν,2,noun,7,Φόρεσε το ___ γιατί φυσούσε.,glossa-b-dim
ψηλόλιγνος,2,noun,2,Ο ___ κύριος περπατά γρήγορα.,glossa-b-dim
μπαινοβγαίνουν,2,noun,2,Τα παιδιά ___ στην αυλή στο διάλειμμα.,glossa-b-dim
παπαρούνα,2,noun,2,Η κόκκινη ___ άνοιξε στο χωράφι.,glossa-b-dim
αποστέλλω,2,noun,1,___ το γράμμα στο ταχυδρομείο.,glossa-b-dim
πυξίδα,2,noun,1,Ο ναύτης κοιτάζει την ___ για τον δρόμο.,glossa-b-dim
παραλήπτης,2,noun,4,Ο ___ άνοιξε το γράμμα χαρούμενος.,glossa-b-dim
επιστολή,2,noun,3,Έστειλα μια ___ στη γιαγιά μου.,glossa-b-dim
κρουασάν,2,noun,1,Έφαγα ένα ___ στο πρωινό.,glossa-b-dim
παραλαμβάνω,2,noun,1,___ το δέμα από τον ταχυδρόμο.,glossa-b-dim
πειρατής,2,noun,1,Ο ___ έχει καπέλο και παπαγάλο.,glossa-b-dim
διαμάντι,2,noun,2,Το ___ λάμπει πάνω στο δαχτυλίδι.,glossa-b-dim
άμαξα,2,noun,1,Η ___ πέρασε στον χωματόδρομο.,glossa-b-dim
νησί,2,noun,2,Το καράβι έφτασε στο μικρό ___.,glossa-b-dim
αποστολέας,2,noun,4,Ο ___ έγραψε το όνομά του στον φάκελο.,glossa-b-dim
παπαγάλος,2,noun,4,Ο ___ μιλάει δυνατά στο κλουβί.,glossa-b-dim
βαρέλι,2,noun,3,Στο ___ βάζουν το κρασί.,glossa-b-dim
καλάμι,2,noun,2,Έκοψε ένα μακρύ ___ στην όχθη.,glossa-b-dim
βιολί,2,noun,1,Παίζει ___ στη γιορτή του σχολείου.,glossa-b-dim
πατινάζ,2,noun,1,Κάνει ___ στον πάγο τον χειμώνα.,glossa-b-dim
ήλιος,2,noun,6,Τη βλέπει ο ___ και γελά.,glossa-b-dim
παιδιά,2,noun,56,Τα ___ παίζουν στην αυλή.,glossa-b-dim
επίσκεψη,2,noun,6,Κάναμε ___ στο μουσείο της πόλης.,glossa-b-dim
αλεπού,2,noun,14,Η ___ έφαγε τα σταφύλια στο αμπέλι.,glossa-b-dim
κόμμα,2,noun,1,Βάζουμε ___ ανάμεσα στις λέξεις της λίστας.,glossa-b-dim
ημερολόγιο,2,noun,10,Γράφω κάθε μέρα στο ___.,glossa-b-dim
κύριος,2,noun,10,Ο ___ μας χαιρέτησε στον δρόμο.,glossa-b-dim
ειρήνη,2,noun,6,Θέλουμε ___ σε όλο τον κόσμο.,glossa-b-dim
ρούχα,2,noun,5,Μάζεψε τα ___ στην ντουλάπα.,glossa-b-dim
άντρας,2,noun,9,Ο ___ κουβαλά μια μεγάλη τσάντα.,glossa-b-dim
άνθρωπος,2,noun,4,Ο ___ περπατά στον δρόμο.,glossa-b-dim
ερωτηματικό,2,noun,4,Η ερώτηση τελειώνει με ___.,glossa-b-dim
τελεία,2,noun,4,Κάθε πρόταση τελειώνει με ___.,glossa-b-dim
εσώρουχα,2,noun,3,Έβαλε τα καθαρά ___ στο συρτάρι.,glossa-b-dim
νυχτικιά,2,noun,3,Φόρεσε την ___ πριν κοιμηθεί.,glossa-b-dim
σκουφάκι,2,noun,3,Έβαλε το ___ στο κεφάλι του.,glossa-b-dim
φούστα,2,noun,3,Η Μαρία φόρεσε κόκκινη ___.,glossa-b-dim
αυλή,2,noun,10,Τα παιδιά παίζουν στην ___.,glossa-b-dim
ακορντεόν,2,noun,7,Ο άντρας έπαιξε ___ στην πλατεία.,glossa-b-dim
αρκούδα,2,noun,2,Η μεγάλη ___ κοιμάται τον χειμώνα.,glossa-b-dim
ευχαριστώ,2,noun,2,Λέμε ___ όταν μας βοηθούν.,glossa-b-dim
θαυμαστικό,2,noun,2,Στο τέλος της φωναχτής πρότασης μπαίνει ___.,glossa-b-dim
κροκόδειλος,2,noun,2,Ο ___ κολυμπά στο ποτάμι.,glossa-b-dim
οικογένεια,2,noun,2,Η ___ μου μένει στο χωριό.,glossa-b-dim
ποιητής,2,noun,2,Ο ___ έγραψε ένα όμορφο ποίημα.,glossa-b-dim
αλεπούδες,2,noun,1,Οι ___ τρέχουν στο δάσος.,glossa-b-dim
εισαγωγικά,2,noun,1,Βάζουμε ___ γύρω από τα λόγια κάποιου.,glossa-b-dim
λαχανόκηπος,2,noun,1,Στον ___ φυτρώνουν ντομάτες.,glossa-b-dim
παύλα,2,noun,1,Η ___ χωρίζει τα λόγια στον διάλογο.,glossa-b-dim
κάλτσες,2,noun,5,Φόρεσα ζεστές ___ το πρωί.,glossa-b-dim
