word,grade,pos,frequency,hint,explanation,source
άλλος,6,noun,6,Λίγο καιρό αργότερα ένας άλλος μανδαρίνος πήγε στο σπίτι του για να πιουν τσάι.,,Τεύχη 1+3
άμα,6,noun,2,"Άμα τελειώσεις, έλα να παίξουμε.",,Τεύχος 2
άνθρωποι,6,noun,25,Πού νομίζετε ότι ζουν οι άνθρωποι που φαίνονται σ’ αυτή;,,Και τα τρία
άποψή,6,noun,21,Mπορείτε να δικαιολογήσετε την άποψή σας;,,Και τα τρία
έγινε,6,noun,28,Θέλετε να διηγηθείτε κάτι ασυνήθιστο που έγινε σε ένα ταξίδι.,,Και τα τρία
έδωσε,6,noun,11,Tι να ένιωσε ο ζητιάνος όταν ο Πέτρος τού έδωσε τη μισή λίρα;,,Τεύχη 1+2
έκανε,6,noun,23,Ο συνταγματάρχης Δαβάκης έκανε ένα θαυμάσιο ελιγμό.,,Και τα τρία
Έλληνες,6,noun,15,Οι Έλληνες αγωνίστηκαν για την ελευθερία τους.,,Και τα τρία
ίδια,6,noun,29,Ο υπολογιστής «θύμωσε» και αρνείται να γράψει δυο ίδια γράμματα στη σειρά.,,Και τα τρία
ίδιο,6,noun,30,Φοράμε το ίδιο χρώμα μπλουζάκι.,,Και τα τρία
αγγελίες,6,noun,9,Διαβάζοντας τις μικρές αγγελίες θα είδατε τις παρακάτω λέξεις ή φράσεις.,,Τεύχος 1
αθήνα,6,noun,84,"Kαστανιώτη, αθήνα, 1997 (διασκευή) 8 Tαξίδια, τόποι, μεταφορικά μέσα Eνότητα 1 1.",,Και τα τρία
αισθανθήκαμε,6,verb,2,Αισθανθήκαμε περήφανοι για την ομάδα.,,Τεύχος 3
αιτία,6,noun,8,Βρήκαν την αιτία της βλάβης.,,Τεύχη 1+2
αιτιολογικές,6,noun,11,Οι αιτιολογικές προτάσεις εξηγούν το γιατί.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Και τα τρία
ακολουθεί,6,verb,20,Συμπληρώστε το κείμενο που ακολουθεί με παραθετικά επιρρημάτων.,,Και τα τρία
ακούσαμε,6,verb,2,Ακούσαμε ένα ωραίο τραγούδι.,,Τεύχος 3
ακριβώς,6,noun,21,Γράψτε ένα σύντομο γράμμα για να του το περιγράψετε ακριβώς.,,Και τα τρία
ακόμη,6,noun,18,Υπάρχουν ακόμη πολλά να μάθουμε.,,Και τα τρία
αλλάξει,6,verb,9,Έχει αλλάξει κάτι στα συναισθήματά τους;,,Και τα τρία
αμεσότητα,6,noun,3,Μίλησε με αμεσότητα και ειλικρίνεια.,,Τεύχη 1+2
ανακοίνωση,6,noun,13,"Tι θα κάνετε αυτές τις δυο μέρες, σύμφωνα με την ανακοίνωση;",,Και τα τρία
ανθρώπων,6,noun,6,Πηγαίνω στην Aθήνα γιατί μου αρέσει η νοοτροπία των ανθρώπων.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχη 1+3
αντίστροφα,6,noun,3,Διάβασε τους αριθμούς αντίστροφα.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχη 2+3
αντικείμενο,6,noun,11,"Στην πρόταση αυτή, το ρήμα δε χρειάζεται αντικείμενο για να συμπληρωθεί η έννοιά του.",,Και τα τρία
απλή,6,noun,6,Η απλή πρόταση έχει ένα ρήμα.,,Και τα τρία
απολογισμός,6,noun,2,Στο τέλος του χρόνου γίνεται απολογισμός.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχος 3
αποσιωπητικά,6,noun,3,Τα αποσιωπητικά δείχνουν ότι κάτι παραλείπεται.,,Τεύχος 1
αρέσουν,6,verb,10,Ποια σημεία θα τους αρέσουν περισσότερο και ποια λιγότερο;,,Και τα τρία
αριθμητικά,6,noun,12,"Τα τακτικά αριθμητικά δείχνουν σειρά: πρώτος, δεύτερος.",,Τεύχος 1
αρχαίας,6,noun,3,Μελετούμε ιστορία της αρχαίας Ελλάδας.,,Τεύχη 1+3
ασχολούνται,6,noun,5,Tώρα όλοι ασχολούνται με τον τουρισμό.,,Τεύχος 3
ατυχήματα,6,noun,22,Ποιος χώρος θεωρείται ο πιο επικίνδυνος για τα ατυχήματα των μικρών παιδιών;,,Τεύχος 2
αυτοκίνητο,6,noun,14,Είχε ένα παμπάλαιο αυτοκίνητο που ’μοιαζε με οβίδα και το λέγαμε «Καραϊσκάκη».,,Τεύχη 1+2
αφίσα,6,noun,12,Παρατηρήσατε την αφίσα της προηγούμενης σελίδας;,,Και τα τρία
αφίσες,6,noun,2,Κόλλησαν αφίσες στον πίνακα ανακοινώσεων.,,Τεύχος 1
αφηγητής,6,noun,24,αφηγητής: Οι προμήθειες όμως δεν έφταναν και οι Έλληνες κρύωναν.,,Τεύχη 1+2
Αύγουστος,6,noun,1,Τον Αύγουστο πολλές οικογένειες ταξιδεύουν.,,Τεύχος 2
βαδίζω,6,verb,2,Βαδίζω αργά στο μονοπάτι.,,Τεύχος 2
βαθμός,6,noun,7,Πήρε καλό βαθμό στην ορθογραφία.,,Τεύχος 1
βαρύς,6,noun,2,Ο σάκος είναι πολύ βαρύς.,,Τεύχος 3
βασιλιάς,6,noun,26,"Aφού φάγανε σούπα, πρόσταξε ο βασιλιάς να φέρουνε βραστά ψάρια.",,Και τα τρία
βλέπετε,6,verb,17,Eδώ βλέπετε κάποιες από τις εκφράσεις που είπε το μαγικό τεντζεράκι στην κοπέλα.,,Και τα τρία
βυζαντινής,6,noun,2,Μελέτησαν ιστορία της βυζαντινής εποχής.,,Τεύχος 3
γίνει,6,verb,27,"Ο Πασπαρτού, που συνήθως ήταν κοκκινωπός, είχε γίνει κάτασπρος από την αγωνία.",,Και τα τρία
γίνονται,6,noun,17,"Οι προτάσεις, έτσι, γίνονται πιο «πλούσιες» και πιο ακριβείς.",,Και τα τρία
γενικός,6,noun,3,Ο γενικός κανόνας ισχύει για όλους.,,Τεύχος 2
γιορτή,6,noun,14,Mπορείτε να την παρουσιάσετε στη χριστουγεννιάτικη γιορτή του σχολείου σας.,,Και τα τρία
γνωρίζετε,6,verb,11,Ποιους άλλους αυτόχθονες/ιθαγενείς λαούς γνωρίζετε;,,Και τα τρία
γνώμη,6,noun,16,"Γι’ αυτό, λοιπόν, θα ήταν πολύ σημαντικό κατά τη γνώμη μας να",,Και τα τρία
γονείς,6,verb,24,Πάρτε συνέντευξη από όσους έχουν καταγωγή από τη Μικρά Ασία (από γονείς ή παππούδες).,,Και τα τρία
γράψει,6,verb,28,Ο υπολογιστής «θύμωσε» και αρνείται να γράψει δυο ίδια γράμματα στη σειρά.,,Και τα τρία
γράψετε,6,verb,22,Μπορείτε να γράψετε μία ή περισσότερες λέξεις.,,Και τα τρία
γράψτε,6,noun,35,γράψτε ένα σύντομο γράμμα για να του το περιγράψετε ακριβώς.,,Και τα τρία
γράψω,6,verb,7,Πώς μπορώ να το γράψω τώρα;,,Και τα τρία
γρήγορα,6,noun,9,Τρέξε γρήγορα προς την πόρτα.,,Και τα τρία
γραπτό,6,noun,29,Στη συνέχεια συμπληρώνω όλα όσα λείπουν για να είναι το γραπτό μου πλήρες.,,Και τα τρία
γυναίκα,6,noun,39,"Λοιπόν, πήγε κάθε ένα το πέπλο του, πήγε και η γυναίκα του ψαρά.",,Και τα τρία
γυναίκες,6,noun,18,γυναίκες με μαντίλες στο κεφάλι πλέκουν με βελόνες.,,Και τα τρία
γύρω,6,verb,21,γύρω περιμένουν στις ακτές οι κάβοι δίπλα τους ν’ αράξει τ’ άσπρο μου καράβι.,,Και τα τρία
δίνει,6,verb,15,Ποια είναι αυτά και ποιες πληροφορίες μάς δίνει το κάθε μέρος;,,Και τα τρία
δίνουν,6,verb,13,"Πρέπει να είναι σύντομες, αλλά να δίνουν όλες τις απαραίτητες πληροφορίες.",,Και τα τρία
δείχνουν,6,verb,17,Ποια στοιχεία δείχνουν πώς ήταν η ζωή του ποιητή μέσα σ’ αυτό;,,Και τα τρία
δηλαδή,6,noun,26,Δηλαδή πρέπει να διαβάσουμε το κεφάλαιο.,,Και τα τρία
διαδίκτυο,6,noun,9,Ψάξαμε πληροφορίες στο διαδίκτυο.,,Τεύχη 1+2
διαφήμιση,6,noun,22,Η διαφήμιση εμφανίστηκε στην οθόνη.,,Τεύχος 1
διαφορετική,6,noun,9,Κάθε ομάδα έχει διαφορετική άποψη.,,Και τα τρία
διηγηθείτε,6,noun,8,Θέλετε να διηγηθείτε με λίγα λόγια σε έναν φίλο σας την ιστορία που διαβάσατε.,,Και τα τρία
διότι,6,noun,10,"Έμεινα σπίτι, διότι ήμουν άρρωστος.",,Και τα τρία
δουλειά,6,noun,22,Η δουλειά τελείωσε νωρίς σήμερα.,,Και τα τρία
δώστε,6,noun,10,δώστε το χαρτί στον διπλανό σας και πάρτε εσείς το δικό του.,,Και τα τρία
είχαμε,6,verb,17,Ζούσε μαζί μας ο πατέρας κι είχαμε ένα λαγωνικό που το λέγανε Ντικ.,,Και τα τρία
εκδήλωση,6,noun,11,Διοργανώστε μια εκδήλωση αφιερωμένη στο δραματικό αυτό γεγονός της ιστορίας μας.,,Και τα τρία
